state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
West Bengal,Kalimpong,Durpin Dara Hill,Nature,83.9,13.2,68.6,4.2,1580,March/April/May/September/October/November,Scenic Views/Monastery Visit,True,True,True,True,"{'Scenic Views': 3.5, 'Monastery Visit': 3.5}",Durpin_Dara_Hill_Kalimpong_West_Bengal.webp
Maharashtra,Igatpuri,Bhatsa River Valley,Nature,123.9,30.8,138.5,4.1,1430,October/November/December/January/February,Scenic Views/Nature Walks,True,True,True,True,"{'Scenic Views': 3.5, 'Nature Walks': 3.5}",Bhatsa_River_Valley_Igatpuri_Maharashtra.webp
Rajasthan,Bikaner,Lalgarh Palace,Historical Palace,18.6,7.5,5.2,4.3,1730,October/November/February/March,Historical Exploration/Heritage Hotel,True,True,False,True,"{'Historical Exploration': 3.5, 'Heritage Hotel': 3.5}",Lalgarh_Palace_Bikaner_Rajasthan.webp
Kerala,Bekal,Ananthapura Lake Temple,Religious Site,123.9,19.2,108.6,4.2,1610,September/October/November/December/January/February,Religious Activities/Unique Architecture,True,True,True,True,"{'Religious Activities': 3.5, 'Unique Architecture': 3.5}",
Goa,Candolim,St. Lawrence Church,Religious Site,38.9,10.8,25.6,4.0,1810,October/November/December/January/February,Religious Activities/Architectural Beauty,True,True,True,True,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",St._Lawrence_Church_Candolim_Goa.webp
Karnataka,Badami,Agastya Lake,Nature,455.6,16.5,125.2,4.4,2230,October/November/December/January/February,Scenic Views/Historical Surroundings,True,True,True,True,"{'Scenic Views': 3.5, 'Historical Surroundings': 3.5}",Agastya_Lake_Badami_Karnataka.webp
Tamil Nadu,Kanchipuram,Varadharaja Perumal Temple,Religious Site,78.6,11.5,3.2,4.6,2030,October/November/December/January/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Varadharaja_Perumal_Temple_Kanchipuram_Tamil_Nadu.webp
Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Historical Gate,38.9,13.2,12.5,4.5,1680,October/November/February/March,Historical Exploration/Architectural Marvel,True,True,False,True,"{'Historical Exploration': 3.5, 'Architectural Marvel': 3.5}",Buland_Darwaza_Fatehpur_Sikri_Uttar_Pradesh.webp
Himachal Pradesh,Kasol,Tosh Village,Nature,305.9,36.5,255.2,4.4,1830,April/May/June/September/October,Trekking/Scenic Views/Village Life,True,True,True,True,"{'Trekking': 4.8, 'Scenic Views': 3.5, 'Village Life': 3.5}",Tosh_Village_Kasol_Himachal_Pradesh.webp
Gujarat,Modhera,Modhera Dance Festival Venue,Cultural Site,101.9,15.8,28.6,4.5,1980,January,Cultural Festival/Architectural Beauty,True,True,True,True,"{'Cultural Festival': 3.5, 'Architectural Beauty': 3.5}",Modhera_Dance_Festival_Venue_Modhera_Gujarat.webp
West Bengal,Murshidabad,Nashipur Palace,Historical Palace,225.9,26.5,185.2,4.1,1530,October/November/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Nashipur_Palace_Murshidabad_West_Bengal.webp
Maharashtra,Alibaug,Kolaba Fort,Historical Fort,113.9,20.8,98.6,4.0,1280,October/November/December/January/February,Historical Exploration/Sea Fort,True,True,True,True,"{'Historical Exploration': 3.5, 'Sea Fort': 3.5}",Kolaba_Fort_Alibaug_Maharashtra.webp
Rajasthan,Bharatpur,Lohagarh Fort,Historical Fort,58.9,10.8,9.5,4.4,1780,October/November/December/January/February,Historical Exploration/Museum Visits,True,True,False,True,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Lohagarh_Fort_Bharatpur_Rajasthan.webp
Kerala,Alappuzha,Marari Beach,Beach,88.9,16.5,7.2,4.5,1680,September/October/November/December/January/February,Relaxing/Beach Walks,True,True,True,True,"{'Relaxing': 3.5, 'Beach Walks': 3.5}",Marari_Beach_Alappuzha_Kerala.webp
Goa,Colva,Our Lady of Mercy Church,Religious Site,25.6,10.5,20.2,3.9,1830,October/November/December/January/February,Religious Activities/Architectural Beauty,True,True,True,True,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Our_Lady_of_Mercy_Church_Colva_Goa.webp
Karnataka,Belur,Veera Narayana Temple,Religious Site,225.9,26.5,185.2,4.6,2180,September/October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Veera_Narayana_Temple_Belur_Karnataka.webp
Tamil Nadu,Chidambaram,Thillai Nataraja Temple,Religious Site,228.6,30.8,8.5,4.5,2030,October/November/December/January/February/March,Religious Activities/Temple Visits/Classical Dance,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3, 'Classical Dance': 3.5}",Thillai_Nataraja_Temple_Chidambaram_Tamil_Nadu.webp
Uttar Pradesh,Sarnath,Ashoka Pillar,Historical Monument,33.9,13.5,11.2,4.4,1930,October/November/February/March,Historical Exploration/Buddhist Significance,True,True,True,True,"{'Historical Exploration': 3.5, 'Buddhist Significance': 3.5}",Ashoka_Pillar_Sarnath_Uttar_Pradesh.webp
Himachal Pradesh,Kasauli,Sunset Point,Nature,68.6,6.5,4.2,4.2,1710,April/May/June/September/October,Scenic Views/Photography,True,True,True,True,"{'Scenic Views': 3.5, 'Photography': 4.2}",Sunset_Point_Kasauli_Himachal_Pradesh.webp
Gujarat,Porbandar,Sudama Mandir,Religious Site,113.9,19.2,8.6,4.3,1950,October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Sudama_Mandir_Porbandar_Gujarat.webp
West Bengal,Bishnupur,Rasmancha,Historical Structure,188.6,22.8,163.9,4.2,1580,October/November/February/March,Historical Exploration/Architectural Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Architectural Significance': 3.5}",
Maharashtra,Matheran,Panorama Point,Nature,108.9,15.8,83.6,4.0,1310,October/November/December/January/February/March,Scenic Views/Trekking,True,True,True,True,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Panorama_Point_Matheran_Maharashtra.webp
Rajasthan,Bundi,Sukh Mahal,Historical Palace,213.9,13.5,188.6,4.2,1650,October/November/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Sukh_Mahal_Bundi_Rajasthan.webp
Kerala,Kumarakom,Aruvikkuzhy Waterfalls,Nature,78.9,18.8,13.6,4.4,1730,September/October/November/December/January/February,Waterfalls/Nature Walks,True,True,True,True,"{'Waterfalls': 3.5, 'Nature Walks': 3.5}",Aruvikkuzhy_Waterfalls_Kumarakom_Kerala.webp
Goa,Vagator,Ozran Beach (Little Vagator),Beach,45.9,12.2,30.6,4.1,1780,October/November/December/January/February,Relaxing/Nightlife/Scenic Views,True,True,True,True,"{'Relaxing': 3.5, 'Nightlife': 4.4, 'Scenic Views': 3.5}",Ozran_Beach_(Little_Vagator)_Vagator_Goa.webp
Karnataka,Shravanabelagola,Chandraprabha Basadi,Religious Site,153.9,21.5,128.6,4.7,2280,October/November/December/January/February,Religious Activities/Historical Significance,True,True,True,True,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",
Tamil Nadu,Thanjavur,Vijayanagar Fort,Historical Fort,63.9,13.2,5.6,4.3,2130,October/November/December/January/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Vijayanagar_Fort_Thanjavur_Tamil_Nadu.webp
Uttar Pradesh,Chitrakoot,Gupt Godavari Caves,Nature,183.9,25.8,18.6,4.5,2080,October/November/February/March,Cave Exploration/Religious Significance,True,True,True,True,"{'Cave Exploration': 3.5, 'Religious Significance': 3.5}",Gupt_Godavari_Caves_Chitrakoot_Uttar_Pradesh.webp
Himachal Pradesh,Palampur,Tashi Jong Monastery,Religious Site,73.9,9.5,68.6,4.3,1730,April/May/June/September/October,Religious Activities/Buddhist Art,True,True,True,True,"{'Religious Activities': 3.5, 'Buddhist Art': 3.5}",
Gujarat,Bhuj,Sharad Bagh Palace,Historical Palace,71.9,12.8,6.2,4.2,1930,October/November/December/January/February,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Sharad_Bagh_Palace_Bhuj_Gujarat.webp
West Bengal,Digha,New Digha Beach,Beach,183.9,36.2,153.6,3.8,1480,October/November/December/January/February,Relaxing/Sea Food/Water Sports,True,True,True,True,"{'Relaxing': 3.5, 'Sea Food': 3.5, 'Water Sports': 4.7}",New_Digha_Beach_Digha_West_Bengal.webp
Maharashtra,Bhandardara,Arthur Lake,Nature,168.6,29.2,143.9,4.1,1380,June/July/August/September/October,Boating/Scenic Views,True,True,True,True,"{'Boating': 4.5, 'Scenic Views': 3.5}",Arthur_Lake_Bhandardara_Maharashtra.webp
Rajasthan,Ranthambore National Park,Padam Talab,Nature,163.9,23.2,148.6,4.5,1830,October/November/December/January/February/March,Wildlife Viewing/Scenic Views,True,True,True,True,"{'Wildlife Viewing': 3.5, 'Scenic Views': 3.5}",Padam_Talab_Ranthambore_National_Park_Rajasthan.webp
Kerala,Kozhikode,Beypore,Historical Port,31.9,10.8,8.6,4.1,1580,September/October/November/December/January/February,Historical Exploration/Shipbuilding Yard,True,True,True,True,"{'Historical Exploration': 3.5, 'Shipbuilding Yard': 3.5}",Beypore_Kozhikode_Kerala.webp
Goa,Morjim,Ashwem Beach,Beach,55.3,14.2,38.6,4.3,1810,October/November/December/January/February,Relaxing/Yoga/Water Sports,True,True,True,True,"{'Relaxing': 3.5, 'Yoga': 3.5, 'Water Sports': 4.7}",Ashwem_Beach_Morjim_Goa.webp
Karnataka,Srirangapatna,Gumbaz,Historical Tomb,138.9,19.5,5.2,4.4,2230,September/October/November/December/January/February,Historical Exploration/Architectural Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Architectural Significance': 3.5}",
Tamil Nadu,Madurai,Vandiyur Mariamman Teppakulam,Temple Tank,14.6,4.2,2.9,4.3,2080,October/November/December/January/February/March,Religious Significance/Photography,True,True,True,True,"{'Religious Significance': 3.5, 'Photography': 4.2}",
Uttar Pradesh,Vrindavan,Prem Mandir,Religious Site,173.9,16.2,11.6,4.8,2380,October/November/February/March,Religious Activities/Architectural Beauty,True,True,True,True,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",Prem_Mandir_Vrindavan_Uttar_Pradesh.webp
Himachal Pradesh,Chamba,Manimahesh Lake,Religious Site,138.9,10.8,123.6,4.6,1710,July/August/September,Religious Pilgrimage/Trekking,True,True,True,True,"{'Religious Pilgrimage': 3.5, 'Trekking': 4.8}",Manimahesh_Lake_Chamba_Himachal_Pradesh.webp
Gujarat,Saputara,Sunset Point,Nature,283.9,35.8,253.6,4.1,1880,October/November/December/January/February,Scenic Views/Photography,True,True,True,True,"{'Scenic Views': 3.5, 'Photography': 4.2}",Sunset_Point_Saputara_Gujarat.webp
West Bengal,Siliguri,Salugara Monastery,Religious Site,18.9,3.2,10.6,4.0,1430,October/November/February/March,Religious Activities/Buddhist Culture,True,True,True,True,"{'Religious Activities': 3.5, 'Buddhist Culture': 3.5}",
Maharashtra,Amboli,Hiranyakeshi Temple,Religious Site,118.9,22.6,93.6,4.0,1330,June/July/August/September,Religious Activities/Nature Surroundings,True,True,True,True,"{'Religious Activities': 3.5, 'Nature Surroundings': 3.5}",Hiranyakeshi_Temple_Amboli_Maharashtra.webp
Rajasthan,Sawai Madhopur,Khandar Fort,Historical Fort,158.9,21.2,143.6,4.3,1780,October/November/December/January/February/March,Historical Exploration/Scenic Views,True,True,False,True,"{'Historical Exploration': 3.5, 'Scenic Views': 3.5}",Khandar_Fort_Sawai_Madhopur_Rajasthan.webp
Kerala,Thrissur,Guruvayur Temple,Religious Site,58.9,13.2,6.6,4.7,1630,September/October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Guruvayur_Temple_Thrissur_Kerala.webp
Goa,Mapusa,St. Jerome Church,Religious Site,48.9,12.2,33.6,3.9,1730,October/November/December/January/February,Religious Activities/Architectural Beauty,True,True,True,True,"{'Religious Activities': 3.5, 'Architectural Beauty': 3.5}",St._Jerome_Church_Mapusa_Goa.webp
Karnataka,Mangaluru,Kadri Manjunath Temple,Religious Site,21.9,5.8,3.2,4.4,2030,September/October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",
Tamil Nadu,Kumbakonam,Adi Kumbeswarar Temple,Religious Site,283.9,36.2,8.6,4.5,2080,October/November/December/January/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",
Uttar Pradesh,Gorakhpur,Imambara,Historical Monument,203.9,18.8,8.6,4.2,2280,October/November/February/March,Historical Exploration/Religious Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Religious Significance': 3.5}",Imambara_Gorakhpur_Uttar_Pradesh.webp
Himachal Pradesh,Mandi,Prashar Lake,Nature,163.9,16.2,148.6,4.4,1680,April/May/June/September/October,Scenic Views/Trekking/Temple Visit,True,True,True,True,"{'Scenic Views': 3.5, 'Trekking': 4.8, 'Temple Visit': 3.5}",Prashar_Lake_Mandi_Himachal_Pradesh.webp
Gujarat,Rajkot,Kaba Gandhi No Delo,Historical Site,163.9,12.8,8.6,4.1,1910,October/November/December/January/February,Historical Exploration/Gandhi's Childhood Home,True,True,False,True,"{'Historical Exploration': 3.5, ""Gandhi's Childhood Home"": 3.5}",Kaba_Gandhi_No_Delo_Rajkot_Gujarat.webp
West Bengal,Kharagpur,Hijli Detention Camp,Historical Site,118.9,19.6,5.2,3.8,1510,October/November/February/March,Historical Exploration/Independence Movement,True,True,False,True,"{'Historical Exploration': 3.5, 'Independence Movement': 3.5}",Hijli_Detention_Camp_Kharagpur_West_Bengal.webp
Maharashtra,Nagpur,Futala Lake,Nature,15.9,7.2,3.8,4.3,1330,October/November/December/January/February,Relaxing/Boating/Evening Views,True,True,True,True,"{'Relaxing': 3.5, 'Boating': 4.5, 'Evening Views': 3.5}",Futala_Lake_Nagpur_Maharashtra.webp
Rajasthan,Ajmer,Adhai Din Ka Jhopra,Historical Mosque,138.9,9.2,2.8,4.6,1750,October/November/February/March,Historical Exploration/Architectural Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Architectural Significance': 3.5}",Adhai_Din_Ka_Jhopra_Ajmer_Rajasthan.webp
Kerala,Kannur,St. Angelo Fort,Historical Fort,121.9,16.5,11.2,4.2,1560,September/October/November/December/January/February,Historical Exploration/Coastal Views,True,True,False,True,"{'Historical Exploration': 3.5, 'Coastal Views': 3.5}",St._Angelo_Fort_Kannur_Kerala.webp
Goa,Ponda,Kavlem,Village Experience,43.9,13.2,38.6,4.0,1790,October/November/December/January/February,Rural Life/Cultural Interaction,True,True,True,True,"{'Rural Life': 3.5, 'Cultural Interaction': 3.5}",Kavlem_Ponda_Goa.webp
Karnataka,Bidar,Bahmani Tombs,Historical Site,705.9,21.2,155.6,4.2,2130,October/November/December/January/February,Historical Exploration/Architectural Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Architectural Significance': 3.5}",Bahmani_Tombs_Bidar_Karnataka.webp
Tamil Nadu,Tiruchirappalli,Rockfort Temple,Religious Site,18.9,4.8,1.8,4.7,2110,October/November/December/January/February/March,Religious Activities/Panoramic Views,True,True,True,True,"{'Religious Activities': 3.5, 'Panoramic Views': 3.5}",Rockfort_Temple_Tiruchirappalli_Tamil_Nadu.webp
Uttar Pradesh,Jhansi,Rani Mahal,Historical Palace,108.9,15.8,5.2,4.1,1630,October/November/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Rani_Mahal_Jhansi_Uttar_Pradesh.webp
Himachal Pradesh,Kinnaur,Nako Lake,Nature,355.9,50.8,305.6,4.5,2010,June/July/August/September/October,Scenic Views/Monastery Visit,True,True,True,True,"{'Scenic Views': 3.5, 'Monastery Visit': 3.5}",Nako_Lake_Kinnaur_Himachal_Pradesh.webp
Gujarat,Junagadh,Uparkot Fort,Historical Fort,108.9,19.2,5.6,4.0,1950,October/November/December/January/February,Historical Exploration/Panoramic Views,True,True,False,True,"{'Historical Exploration': 3.5, 'Panoramic Views': 3.5}",Uparkot_Fort_Junagadh_Gujarat.webp
West Bengal,Malda,Gour,Historical City Ruins,335.9,41.2,290.6,3.9,1610,October/November/February/March,Historical Exploration/Archaeological Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Archaeological Significance': 3.5}",Gour_Malda_West_Bengal.webp
Maharashtra,Chiplun,Parshuram Temple,Religious Site,283.9,36.5,253.2,4.1,1410,October/November/December/January/February,Religious Activities/Scenic Views,True,True,True,True,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Parshuram_Temple_Chiplun_Maharashtra.webp
Rajasthan,Jhalawar,Chandrabhaga Temples,Religious Site,343.9,25.8,303.6,4.0,1810,October/November/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Chandrabhaga_Temples_Jhalawar_Rajasthan.webp
Kerala,Palakkad,Silent Valley National Park,Nature,113.9,21.2,88.6,4.2,1590,September/October/November/December/January/February,Wildlife Viewing/Nature Trails,True,True,True,True,"{'Wildlife Viewing': 3.5, 'Nature Trails': 3.5}",Silent_Valley_National_Park_Palakkad_Kerala.webp
Goa,Sanquelim,Mayem Lake,Nature,68.9,18.9,53.6,4.0,1770,June/July/August/September/October,Boating/Picnicking,True,True,True,True,"{'Boating': 4.5, 'Picnicking': 3.5}",Mayem_Lake_Sanquelim_Goa.webp
Karnataka,Hassan,Chennakesava Temple,Religious Site,183.9,23.2,158.6,4.5,2210,September/October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Chennakesava_Temple_Hassan_Karnataka.webp
Tamil Nadu,Karaikudi,Pillaiyarpatti Temple,Religious Site,98.9,15.8,83.6,4.3,2050,October/November/December/January/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",
Uttar Pradesh,Mirzapur,Ashtabhuja Devi Temple,Religious Site,88.9,12.9,13.6,4.4,2030,October/November/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Ashtabhuja_Devi_Temple_Mirzapur_Uttar_Pradesh.webp
Himachal Pradesh,Una,Bhakra Nangal Dam,Dam,113.9,8.8,98.6,4.2,1650,April/May/June/September/October,Engineering Marvel/Scenic Views,True,True,True,True,"{'Engineering Marvel': 3.5, 'Scenic Views': 3.5}",Bhakra_Nangal_Dam_Una_Himachal_Pradesh.webp
Gujarat,Surendranagar,Wadhwan,Historical Town,133.9,20.8,108.6,4.2,1980,October/November/December/January/February,Historical Exploration/Local Culture,True,True,True,True,"{'Historical Exploration': 3.5, 'Local Culture': 3.5}",Wadhwan_Surendranagar_Gujarat.webp
West Bengal,Bankura,Susunia Hills,Nature,233.9,31.2,208.6,3.9,1550,October/November/December/January/February,Trekking/Rock Climbing/Natural Springs,True,True,True,True,"{'Trekking': 4.8, 'Rock Climbing': 3.5, 'Natural Springs': 3.5}",Susunia_Hills_Bankura_West_Bengal.webp
Maharashtra,Satara,Thoseghar Waterfalls,Nature,138.9,25.8,113.6,4.4,1350,July/August/September/October,Waterfalls/Scenic Views,True,True,True,True,"{'Waterfalls': 3.5, 'Scenic Views': 3.5}",Thoseghar_Waterfalls_Satara_Maharashtra.webp
Rajasthan,Pali,Jawai Dam,Nature,163.9,16.2,148.6,4.5,1680,October/November/February/March,Wildlife Viewing/Bird Watching,True,True,True,True,"{'Wildlife Viewing': 3.5, 'Bird Watching': 3.5}",
Kerala,Idukki,Hill View Park,Nature,133.9,22.8,118.6,4.2,1620,September/October/November/December/January/February,Scenic Views/Boating,True,True,True,True,"{'Scenic Views': 3.5, 'Boating': 4.5}",Hill_View_Park_Idukki_Kerala.webp
Goa,Canacona,Agonda Beach,Beach,78.9,21.5,63.6,4.3,1850,October/November/December/January/February,Relaxing/Turtle Nesting,True,True,True,True,"{'Relaxing': 3.5, 'Turtle Nesting': 3.5}",Agonda_Beach_Canacona_Goa.webp
Karnataka,Chitradurga,Chandravalli,Archaeological Site,203.9,26.2,178.6,4.3,2150,October/November/December/January/February,Historical Exploration/Archaeological Significance,True,True,False,True,"{'Historical Exploration': 3.5, 'Archaeological Significance': 3.5}",Chandravalli_Chitradurga_Karnataka.webp
Tamil Nadu,Sivaganga,Kazhugumalai Jain Beds,Historical Site,88.9,13.2,8.6,4.2,2090,October/November/December/January/February/March,Historical Exploration/Jain Sculptures,True,True,False,True,"{'Historical Exploration': 3.5, 'Jain Sculptures': 3.5}",
Uttar Pradesh,Banda,Raja Mahal,Historical Palace,233.9,30.8,18.6,4.0,1710,October/November/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Raja_Mahal_Banda_Uttar_Pradesh.webp
Himachal Pradesh,Sirmaur,Fossil Park Suketi,Nature,118.9,11.2,103.6,4.2,1630,April/May/June/September/October,Fossil Viewing/Nature Walks,True,True,True,True,"{'Fossil Viewing': 3.5, 'Nature Walks': 3.5}",Fossil_Park_Suketi_Sirmaur_Himachal_Pradesh.webp
Gujarat,Amreli,Dwarkesh Temple,Religious Site,153.9,23.2,138.6,4.3,1960,October/November/December/January/February,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Dwarkesh_Temple_Amreli_Gujarat.webp
West Bengal,Purulia,Matha Forest,Nature,303.9,40.8,258.6,4.1,1530,October/November/December/January/February,Nature Walks/Picnicking,True,True,True,True,"{'Nature Walks': 3.5, 'Picnicking': 3.5}",Matha_Forest_Purulia_West_Bengal.webp
Maharashtra,Wardha,Kelzar Lake,Nature,78.9,16.5,6.6,4.2,1380,October/November/December/January/February,Boating/Relaxing,True,True,True,True,"{'Boating': 4.5, 'Relaxing': 3.5}",Kelzar_Lake_Wardha_Maharashtra.webp
Rajasthan,Tonk,Hathi Bhata,Historical Monument,113.9,18.8,98.6,4.0,1730,October/November/February/March,Historical Exploration/Photography,True,True,False,True,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Hathi_Bhata_Tonk_Rajasthan.webp
Kerala,Pathanamthitta,Konni Elephant Camp,Nature,163.9,31.2,148.6,4.3,1780,September/October/November/December/January/February,Elephant Interaction/Nature Walks,True,True,True,True,"{'Elephant Interaction': 3.5, 'Nature Walks': 3.5}",Konni_Elephant_Camp_Pathanamthitta_Kerala.webp
Goa,Quepem,Kuskem Waterfalls,Nature,71.9,20.2,58.6,4.2,1830,June/July/August/September/October,Waterfalls/Trekking,True,True,True,True,"{'Waterfalls': 3.5, 'Trekking': 4.8}",
Karnataka,Kodagu,Bhagamandala,Religious Site,158.9,20.8,133.6,4.5,2010,September/October/November/December/January/February,Religious Activities/Confluence of Rivers,True,True,True,True,"{'Religious Activities': 3.5, 'Confluence of Rivers': 3.5}",
Tamil Nadu,Theni,Suruli Falls,Nature,133.9,19.2,118.6,4.3,1980,October/November/December/January/February,Waterfalls/Scenic Views,True,True,True,True,"{'Waterfalls': 3.5, 'Scenic Views': 3.5}",Suruli_Falls_Theni_Tamil_Nadu.webp
Uttar Pradesh,Saharanpur,Company Garden,Park,188.9,13.2,163.6,4.1,1650,October/November/February/March,Relaxing/Nature Walks,True,True,True,True,"{'Relaxing': 3.5, 'Nature Walks': 3.5}",Company_Garden_Saharanpur_Uttar_Pradesh.webp
Himachal Pradesh,Hamirpur,Sujanpur Tihra,Historical Site,143.9,11.2,128.6,4.1,1710,April/May/June/September/October,Historical Exploration/Fort Visit,True,True,False,True,"{'Historical Exploration': 3.5, 'Fort Visit': 3.5}",Sujanpur_Tihra_Hamirpur_Himachal_Pradesh.webp
Gujarat,Bhavnagar,Gopnath Beach,Beach,173.9,26.2,8.6,3.9,1930,October/November/December/January/February,Relaxing/Temple Visit,True,True,True,True,"{'Relaxing': 3.5, 'Temple Visit': 3.5}",Gopnath_Beach_Bhavnagar_Gujarat.webp
West Bengal,Hooghly,Tarakeswar Temple,Religious Site,58.9,10.8,6.6,4.4,1450,October/November/February/March,Religious Activities/Temple Visits,True,True,True,True,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Tarakeswar_Temple_Hooghly_West_Bengal.webp
Gujarat,Ahmedabad,Sabarmati Ashram,Historical Site,12.5,6.8,4.1,4.4,1550,October/November/December/January/February,Historical Exploration/Gandhi's Life/Peaceful Reflection,True,True,False,True,"{'Historical Exploration': 3.5, ""Gandhi's Life"": 3.5, 'Peaceful Reflection': 3.5}",Sabarmati_Ashram_Ahmedabad_Gujarat.webp
Maharashtra,Mumbai,Gateway of India,Historical Monument,28.7,10.5,5.3,4.5,1850,October/November/December/January/February,Sightseeing/Photography/Ferry Rides,True,True,True,True,"{'Sightseeing': 4.5, 'Photography': 4.2, 'Ferry Rides': 3.5}",Gateway_of_India_Mumbai_Maharashtra.webp
Karnataka,Bengaluru,Bangalore Palace,Historical Palace,35.1,12.3,8.7,4.2,1400,September/October/November/December/January/February/March,Sightseeing/Historical Exploration/Cultural Events,True,True,False,True,"{'Sightseeing': 4.5, 'Historical Exploration': 3.5, 'Cultural Events': 4.5}",Bangalore_Palace_Bengaluru_Karnataka.webp
Tamil Nadu,Chennai,Marina Beach,Beach,18.3,7.9,6.2,4.0,1100,December/January/February,Relaxing/Walking/Street Food,True,True,True,True,"{'Relaxing': 3.5, 'Walking': 3.5, 'Street Food': 3.5}",Marina_Beach_Chennai_Tamil_Nadu.webp
Rajasthan,Jaipur,Hawa Mahal,Historical Palace,15.9,5.1,3.9,4.3,1650,October/November/December/January/February/March,Sightseeing/Photography/Architectural Marvel,True,True,False,True,"{'Sightseeing': 4.5, 'Photography': 4.2, 'Architectural Marvel': 3.5}",Hawa_Mahal_Jaipur_Rajasthan.webp
Kerala,Kochi,Fort Kochi,Historical Area,45.2,15.7,12.8,4.4,1780,September/October/November/December/January/February,Historical Exploration/Chinese Fishing Nets/Art Galleries,True,True,True,True,"{'Historical Exploration': 3.5, 'Chinese Fishing Nets': 3.5, 'Art Galleries': 3.5}",Fort_Kochi_Kochi_Kerala.webp
West Bengal,Kolkata,Victoria Memorial,Historical Monument,20.1,8.5,6.7,4.6,1920,October/November/December/January/February,Sightseeing/Museum Visits/Gardens,True,True,False,True,"{'Sightseeing': 4.5, 'Museum Visits': 4.3, 'Gardens': 3.5}",Victoria_Memorial_Kolkata_West_Bengal.webp
Uttar Pradesh,Agra,Taj Mahal,Historical Monument,10.8,3.5,2.1,4.9,2500,October/November/December/January/February/March,Sightseeing/Photography/Symbol of Love,True,True,True,True,"{'Sightseeing': 4.5, 'Photography': 4.2, 'Symbol of Love': 3.5}",Taj_Mahal_Agra_Uttar_Pradesh.webp
Goa,Panaji,Calangute Beach,Beach,40.5,12.9,35.2,4.1,1250,October/November/December/January/February,Relaxing/Water Sports/Nightlife,True,True,True,True,"{'Relaxing': 3.5, 'Water Sports': 4.7, 'Nightlife': 4.4}",Calangute_Beach_Panaji_Goa.webp
Himachal Pradesh,Shimla,Mall Road,Shopping Street,22.7,6.3,4.5,4.3,1580,March/April/May/June/September/October,Shopping/Dining/Scenic Views,True,True,True,True,"{'Shopping': 4.2, 'Dining': 3.5, 'Scenic Views': 3.5}",Mall_Road_Shimla_Himachal_Pradesh.webp
